Updated,Flow
2014-03-28 07:06 MDT,0
2014-03-28 06:01 MDT,0
2014-03-28 05:31 MDT,0
2014-03-28 05:01 MDT,0
2014-03-28 04:31 MDT,0
2014-03-28 04:01 MDT,0
2014-03-28 03:30 MDT,0
2014-03-28 03:01 MDT,0
2014-03-28 02:33 MDT,20
2014-03-28 02:00 MDT,20
2014-03-28 01:34 MDT,10
2014-03-28 01:00 MDT,10
2014-03-28 00:30 MDT,10
2014-03-28 00:01 MDT,0
2014-03-27 23:30 MDT,0
2014-03-27 23:00 MDT,0
2014-03-27 22:28 MDT,0
2014-03-27 21:58 MDT,0
2014-03-27 21:39 MDT,0
2014-03-27 20:58 MDT,0
2014-03-27 20:35 MDT,0
2014-03-27 20:34 MDT,0
2014-03-27 20:06 MDT,0
2014-03-27 19:35 MDT,0
2014-03-27 19:06 MDT,10
2014-03-27 18:36 MDT,0
2014-03-27 18:08 MDT,0
2014-03-27 17:58 MDT,10
2014-03-27 17:12 MDT,10
2014-03-27 16:58 MDT,10
2014-03-27 16:11 MDT,10
2014-03-27 15:20 MDT,0
2014-03-27 15:00 MDT,10
2014-03-27 14:17 MDT,0
2014-03-27 13:59 MDT,0
2014-03-27 13:04 MDT,10
2014-03-27 12:58 MDT,10
2014-03-27 12:57 MDT,10
2014-03-27 11:09 MDT,0
2014-03-27 10:02 MDT,0
2014-03-27 09:04 MDT,0
2014-03-27 08:02 MDT,0
2014-03-27 07:02 MDT,0
2014-03-27 06:02 MDT,0
2014-03-27 05:03 MDT,0
2014-03-27 04:12 MDT,0
2014-03-27 03:12 MDT,0
2014-03-27 03:12 MDT,0
2014-03-27 03:12 MDT,0
2014-03-26 23:35 MDT,0
2014-03-26 22:35 MDT,0
2014-03-26 22:02 MDT,0
2014-03-26 21:31 MDT,0
2014-03-26 21:08 MDT,0
2014-03-26 20:11 MDT,10
2014-03-26 20:01 MDT,0
2014-03-26 19:06 MDT,0
2014-03-26 19:06 MDT,0
2014-03-26 18:29 MDT,0
2014-03-26 18:29 MDT,0
2014-03-26 17:10 MDT,0
2014-03-26 16:04 MDT,0
2014-03-26 15:01 MDT,0
2014-03-26 14:32 MDT,0
2014-03-26 14:02 MDT,0
